OBS,HOUSEHOLDID,HEINZ,HUNTS,PRICEHEINZ,PRICEHUNTS,DISPLAYHEINZ,DISPLAYHUNTS,FEATUREHEINZ,FEATUREHUNTS
58,6,1,0,0.030999999,0.044,0,0,0,0
59,6,1,0,0.030999999,0.037,0,0,0,0
60,6,1,0,0.030999999,0.035999998,0,0,0,1
61,6,0,1,0.034333333,0.035999998,0,0,0,1
62,6,1,0,0.027000001,0.035,0,0,0,1
63,6,1,0,0.034000002,0.033,0,0,0,0
64,6,1,0,0.027000001,0.035,0,0,0,0
65,6,1,0,0.012,0.035,0,0,1,0
66,6,1,0,0.030999999,0.041999999,0,0,0,0
67,6,1,0,0.030999999,0.035,0,0,0,0
68,6,1,0,0.037,0.035,0,0,0,0
69,6,0,1,0.043999999,0.035,0,0,0,0
70,6,1,0,0.015,0.035,0,0,0,0
71,7,1,0,0.029999999,0.028000001,0,1,0,0
72,7,1,0,0.029999999,0.028000001,0,0,1,0
73,7,1,0,0.030999999,0.041999999,0,0,0,0
74,7,0,1,0.045333333,0.025,0,1,0,0
75,7,1,0,0.021,0.034000002,0,0,0,0
76,8,1,0,0.037,0.034000002,0,0,0,0
77,8,1,0,0.034000002,0.037,0,0,0,0
78,8,1,0,0.029999999,0.030999999,0,0,0,0
79,8,1,0,0.029999999,0.029999999,0,0,0,0
80,8,1,0,0.029999999,0.029999999,1,0,0,0
81,8,1,0,0.025,0.030999999,0,0,1,0
82,8,1,0,0.034000002,0.030999999,1,0,0,0
83,8,1,0,0.030999999,0.030999999,0,0,0,0
84,8,1,0,0.034000002,0.034000002,0,0,0,0
85,8,1,0,0.037,0.034000002,0,0,0,0
86,8,1,0,0.037,0.028000001,0,1,0,0
87,9,1,0,0.028000001,0.035999998,0,0,0,0
88,9,1,0,0.017000001,0.035999998,0,0,0,1
89,9,1,0,0.021,0.035,0,0,0,0
90,9,1,0,0.017999999,0.030999999,0,0,0,0
91,9,1,0,0.024,0.035,0,0,1,0
92,9,1,0,0.022,0.030999999,1,0,0,0
93,9,1,0,0.039000001,0.037,1,0,0,0
94,9,1,0,0.022,0.034000002,0,0,0,0
95,10,1,0,0.025,0.034000002,0,0,0,0
96,10,0,1,0.045,0.026000001,0,0,0,0
97,10,1,0,0.039000001,0.034000002,0,0,0,0
98,10,1,0,0.028000001,0.029999999,1,0,0,0
99,10,1,0,0.029999999,0.029999999,0,0,0,0
100,10,1,0,0.034000002,0.030999999,0,0,0,0
101,10,0,1,0.043000002,0.028000001,0,0,0,0
102,10,1,0,0.034000002,0.034000002,0,0,0,0
103,10,0,1,0.043333334,0.029999999,0,0,0,0
104,10,1,0,0.039000001,0.037,0,0,0,0
105,10,1,0,0.035999998,0.037,0,0,0,0
106,11,1,0,0.033,0.048,0,0,0,0
107,11,1,0,0.034000002,0.041000001,0,0,0,0
108,11,1,0,0.034000002,0.045000002,0,0,0,0
109,11,1,0,0.033,0.048,1,0,0,0
110,11,1,0,0.033,0.048,0,0,0,0
111,11,1,0,0.030999999,0.035999998,0,0,0,0
112,11,1,0,0.029999999,0.048,0,0,1,0
113,11,1,0,0.029999999,0.050000001,0,0,0,0
114,11,1,0,0.027000001,0.048999999,0,0,0,0
115,11,1,0,0.029999999,0.086999997,0,0,0,0
116,11,1,0,0.029999999,0.041000001,0,0,0,1
117,11,1,0,0.029999999,0.041000001,0,0,0,1
118,11,1,0,0.012,0.041000001,0,0,1,0
119,11,1,0,0.029999999,0.041000001,0,0,0,0
120,11,1,0,0.029999999,0.041000001,0,0,0,0
121,12,1,0,0.032000002,0.034000002,0,0,0,0
122,12,1,0,0.022,0.034000002,0,0,0,0
123,12,1,0,0.028000001,0.029999999,1,0,0,0
124,12,1,0,0.022,0.030999999,1,0,0,0
125,12,1,0,0.030999999,0.032000002,1,0,0,0
126,12,1,0,0.034000002,0.028000001,0,1,0,0
127,12,1,0,0.030999999,0.034000002,0,0,0,0
128,12,1,0,0.032000002,0.037,0,0,1,0
129,12,1,0,0.030999999,0.037,0,0,0,0
130,13,1,0,0.034000002,0.030999999,0,0,0,0
131,13,1,0,0.015,0.030999999,0,0,0,0
132,13,1,0,0.043000001,0.030999999,1,0,0,0
133,13,1,0,0.029999999,0.028000001,0,0,1,0
134,13,1,0,0.032000002,0.028000001,0,0,1,0
135,13,1,0,0.034000002,0.030999999,0,0,0,0
136,13,1,0,0.034000002,0.030999999,0,0,0,0
137,13,1,0,0.029999999,0.030999999,0,0,0,0
138,14,1,0,0.028999999,0.041000001,0,0,0,0
139,14,1,0,0.034000002,0.041000001,0,0,0,0
140,14,1,0,0.034000002,0.045000002,0,0,0,0
141,14,1,0,0.025,0.037,0,0,0,0
142,14,1,0,0.030999999,0.044,0,0,0,0
143,14,1,0,0.028000001,0.035999998,0,0,0,1
144,14,1,0,0.017000001,0.035999998,0,0,0,1
145,14,1,0,0.027000001,0.035999998,0,0,0,1
146,15,1,0,0.052000001,0.034000002,0,0,0,0
147,15,1,0,0.050000001,0.030999999,0,0,0,0
148,15,0,1,0.043333334,0.034000002,0,0,0,0
149,15,0,1,0.043333333,0.034000002,0,0,0,0
150,15,1,0,0.029999999,0.018999999,0,0,0,0
151,15,1,0,0.025,0.029999999,1,0,0,0
152,15,0,1,0.042333333,0.029999999,0,0,0,0
153,15,0,1,0.043666667,0.030999999,0,0,0,0
154,15,1,0,0.046999998,0.030999999,0,0,1,0
155,15,1,0,0.046,0.030999999,0,0,0,0
156,15,0,1,0.043000002,0.028000001,0,0,0,0
157,15,0,1,0.043666667,0.030999999,0,0,0,0
158,15,1,0,0.039000001,0.032000002,1,0,0,0
159,15,1,0,0.050000001,0.030999999,0,0,0,0
160,15,1,0,0.050000001,0.034000002,0,0,0,0
161,15,1,0,0.050000001,0.026000001,0,0,0,0
162,15,1,0,0.030999999,0.034000002,1,0,0,0
163,15,0,1,0.045666667,0.025,0,1,0,0
164,15,0,1,0.043333334,0.029999999,0,0,0,0
165,15,1,0,0.052999999,0.037,0,0,0,0
166,15,1,0,0.037,0.037,0,0,0,0
167,15,1,0,0.052999999,0.037,0,0,0,0
168,16,1,0,0.034000002,0.046999998,1,0,0,0
169,16,1,0,0.029999999,0.029999999,0,0,0,0
170,16,0,1,0.040333334,0.029999999,0,0,0,0
171,16,1,0,0.012,0.035,0,0,1,0
172,16,0,1,0.041,0.035,0,0,0,0
173,16,1,0,0.030999999,0.030999999,1,0,0,0
174,16,0,1,0.044666668,0.030999999,0,1,0,0
175,16,1,0,0.046,0.034000002,0,0,0,0
176,16,0,1,0.04,0.037,1,0,0,0
177,16,1,0,0.022,0.033,0,0,0,0
178,17,1,0,0.033,0.052000001,0,0,0,0
179,17,1,0,0.029999999,0.063000001,0,0,0,0
180,17,1,0,0.027000001,0.041000001,0,0,0,1
181,17,1,0,0.012,0.041000001,0,0,1,0
182,17,0,1,0.042333333,0.034000002,1,0,0,0
183,17,1,0,0.032000002,0.041000001,0,0,1,0
184,17,1,0,0.015,0.041000001,0,0,0,0
185,17,1,0,0.050000001,0.041000001,0,0,1,0
186,18,1,0,0.034000002,0.039000001,0,0,0,0
187,18,1,0,0.017000001,0.035999998,0,0,0,1
188,18,1,0,0.012,0.035,0,0,1,0
189,18,1,0,0.015,0.035,0,0,0,0
190,18,1,0,0.017999999,0.041999999,0,0,0,0
191,19,1,0,0.039000001,0.030999999,0,0,0,0
192,19,1,0,0.041000001,0.029999999,0,0,0,0
193,19,1,0,0.029999999,0.028000001,0,0,1,0
194,19,1,0,0.029999999,0.039999999,0,0,0,0
195,19,1,0,0.034000002,0.030999999,1,0,0,0
196,19,1,0,0.021,0.034000002,0,0,0,0
197,20,1,0,0.050000001,0.041000001,0,0,0,0
198,20,1,0,0.028000001,0.039999999,0,0,0,0
199,20,1,0,0.034000002,0.030999999,0,0,0,0
200,20,1,0,0.034000002,0.033,0,0,0,1
201,20,1,0,0.032000002,0.028999999,0,0,0,0
202,20,1,0,0.034000002,0.030999999,0,0,0,0
203,20,1,0,0.034000002,0.030999999,0,0,0,0
204,21,1,0,0.035,0.029999999,0,0,0,0
205,21,1,0,0.028999999,0.028000001,1,0,0,0
206,21,1,0,0.046999998,0.030999999,0,0,0,0
207,21,1,0,0.035,0.034000002,0,0,0,0
208,21,1,0,0.021,0.034000002,0,0,0,0
209,21,1,0,0.035,0.037,0,0,0,0
210,22,1,0,0.034000002,0.046999998,1,0,0,0
211,22,0,1,0.035666668,0.035999998,0,0,0,0
212,22,0,1,0.038666667,0.035,0,0,1,0
213,22,1,0,0.041999999,0.035,0,0,1,0
214,22,1,0,0.037,0.035,0,0,0,0
215,23,1,0,0.017999999,0.039999999,0,0,0,0
216,23,0,1,0.042666667,0.028000001,0,0,0,0
217,23,1,0,0.032000002,0.028000001,0,0,0,0
218,23,1,0,0.034000002,0.030999999,0,0,0,0
219,23,1,0,0.022,0.030999999,0,0,0,0
220,23,1,0,0.017000001,0.034000002,1,0,0,0
221,23,0,1,0.045666667,0.025,0,0,0,0
222,23,1,0,0.046,0.034000002,0,0,0,0
223,23,1,0,0.021,0.034000002,0,0,0,0
224,23,0,1,0.041333334,0.028000001,0,0,0,0
225,23,1,0,0.022,0.033,0,0,0,0
226,23,0,1,0.038666667,0.034000002,1,0,0,0
227,24,1,0,0.027000001,0.048,0,0,1,0
228,24,1,0,0.029999999,0.048,0,0,1,0
229,24,1,0,0.021,0.035,0,0,1,0
230,24,1,0,0.046,0.041000001,0,0,0,1
231,24,1,0,0.041000001,0.033,0,0,0,0
232,24,1,0,0.029999999,0.041000001,0,0,0,0
233,24,1,0,0.032000002,0.041000001,0,0,1,0
234,24,1,0,0.032000002,0.041000001,0,0,0,0
235,24,1,0,0.032000002,0.043000001,0,0,1,0
236,24,1,0,0.032000002,0.041000001,0,0,0,0
237,25,1,0,0.034000002,0.035,0,0,0,0
238,25,1,0,0.037,0.037,0,0,0,0
239,25,1,0,0.037,0.034000002,0,0,0,0
240,25,1,0,0.029999999,0.029999999,0,0,0,0
241,25,1,0,0.034000002,0.030999999,1,0,0,0
242,25,1,0,0.046999998,0.030999999,0,0,0,0
243,25,1,0,0.034000002,0.028000001,0,1,0,0
244,26,1,0,0.028000001,0.035999998,0,0,0,0
245,26,1,0,0.029999999,0.028000001,0,0,1,0
246,26,1,0,0.034000002,0.030999999,0,0,0,0
247,26,1,0,0.041999999,0.041999999,0,0,0,0
248,26,0,1,0.041333334,0.028000001,0,0,0,0
249,27,1,0,0.037,0.039999999,0,0,0,0
250,27,1,0,0.017999999,0.039999999,0,0,0,0
251,27,1,0,0.028000001,0.039000001,0,0,0,0
252,27,1,0,0.034000002,0.030999999,0,0,0,0
253,27,1,0,0.034000002,0.030999999,1,0,0,0
254,27,1,0,0.030999999,0.034000002,0,0,0,0
255,27,1,0,0.029999999,0.034000002,0,0,0,0
256,27,1,0,0.021,0.028000001,0,0,0,0
257,27,1,0,0.034000002,0.028000001,0,0,0,0
258,27,1,0,0.034000002,0.028000001,0,0,0,0
259,27,1,0,0.034000002,0.030999999,0,0,0,0
260,27,1,0,0.030999999,0.030999999,1,0,0,0
261,27,1,0,0.034000002,0.030999999,0,0,0,0
262,27,1,0,0.034000002,0.033,0,0,0,0
263,27,1,0,0.030999999,0.034000002,1,0,0,0
264,27,1,0,0.021,0.034000002,0,0,0,0
265,27,1,0,0.037,0.034000002,0,0,0,0
266,27,1,0,0.035,0.034000002,1,0,0,0
267,27,1,0,0.037,0.034000002,0,0,0,0
268,27,1,0,0.037,0.034000002,0,0,0,0
269,27,1,0,0.037,0.034000002,0,0,0,0
270,27,1,0,0.021,0.034000002,0,0,1,0
271,27,1,0,0.037,0.034000002,0,0,0,0
272,27,1,0,0.037,0.034000002,1,0,0,0
273,27,1,0,0.022,0.034000002,0,0,0,0
274,27,1,0,0.037,0.034000002,0,0,0,0
275,28,1,0,0.028000001,0.035999998,0,0,0,0
276,28,1,0,0.029999999,0.048,0,0,1,0
277,28,1,0,0.046,0.048,0,0,1,0
278,28,1,0,0.046,0.048,0,0,1,0
279,28,1,0,0.034000002,0.028000001,0,0,0,0
280,28,1,0,0.046,0.041000001,0,0,1,1
281,28,1,0,0.025,0.030999999,0,0,0,0
282,28,1,0,0.029999999,0.041000001,0,0,0,0
283,28,0,1,0.043000002,0.028000001,0,1,0,0
284,28,0,1,0.041666668,0.022,0,0,0,0
285,28,0,1,0.044666668,0.028000001,0,0,0,0
286,28,1,0,0.015,0.041000001,0,0,0,0
287,28,1,0,0.032000002,0.028000001,0,1,0,0
288,28,1,0,0.043000001,0.034000002,1,0,0,0
289,29,1,0,0.052000001,0.037,0,0,0,0
290,29,1,0,0.052000001,0.037,0,0,0,0
291,29,1,0,0.046999998,0.037,0,0,0,0
292,29,1,0,0.046999998,0.034000002,0,0,0,0
293,29,1,0,0.035,0.029999999,1,0,0,0
294,29,1,0,0.048999999,0.029999999,1,0,0,0
295,29,1,0,0.046999998,0.030999999,0,0,0,0
296,29,1,0,0.046999998,0.030999999,0,0,0,0
297,30,1,0,0.037,0.034000002,0,0,0,0
298,30,1,0,0.037,0.034000002,0,0,0,0
299,30,1,0,0.033,0.048,1,0,0,0
300,30,1,0,0.030999999,0.037,1,0,0,0
301,30,1,0,0.030999999,0.037,0,0,0,0
302,30,1,0,0.037,0.034000002,0,0,0,0
303,30,1,0,0.029999999,0.048,0,0,1,0
304,30,1,0,0.030999999,0.034000002,0,0,0,0
305,30,1,0,0.029999999,0.029999999,0,0,0,0
306,30,1,0,0.035,0.029999999,0,0,0,0
307,31,1,0,0.037,0.037,0,0,0,0
308,31,0,1,0.042000001,0.030999999,0,0,0,0
309,31,0,1,0.038333333,0.028000001,0,1,0,0
310,31,1,0,0.021,0.028000001,0,0,0,0
311,31,1,0,0.034000002,0.030999999,0,0,0,0
312,31,1,0,0.016000001,0.030999999,0,0,0,0
313,31,1,0,0.035,0.034000002,0,0,0,0
314,32,0,1,0.045,0.026000001,0,0,0,0
315,32,0,1,0.045,0.037,0,0,0,0
316,32,0,1,0.042333333,0.029999999,0,0,0,0
317,32,0,1,0.038333334,0.017999999,0,0,0,0
318,32,1,0,0.050000001,0.030999999,0,0,0,0
319,32,0,1,0.042000001,0.028000001,0,0,0,0
320,33,1,0,0.027000001,0.035999998,0,0,0,0
321,33,1,0,0.027000001,0.035,0,0,0,1
322,33,1,0,0.012,0.041000001,0,0,1,0
323,33,1,0,0.041999999,0.035,0,0,0,0
324,33,1,0,0.015,0.035,0,0,0,0
325,33,1,0,0.039000001,0.035,0,0,0,0
326,33,1,0,0.022,0.033,0,0,0,0
327,34,0,1,0.037999999,0.028000001,0,1,0,0
328,34,1,0,0.024,0.028000001,0,0,0,0
329,34,1,0,0.029999999,0.028000001,0,0,0,0
330,34,1,0,0.034000002,0.030999999,0,0,1,0
331,34,1,0,0.035,0.028999999,0,0,0,0
332,34,0,1,0.041666668,0.028000001,0,0,0,0
333,34,1,0,0.022,0.033,0,0,0,0
334,35,1,0,0.037,0.039000001,0,0,0,0
335,35,1,0,0.028000001,0.039000001,0,0,0,0
336,35,1,0,0.030999999,0.034000002,1,0,0,0
337,35,1,0,0.027000001,0.029999999,0,0,0,0
338,35,1,0,0.024,0.030999999,0,0,0,0
339,35,1,0,0.028000001,0.030999999,0,0,1,0
340,35,1,0,0.028000001,0.030999999,1,0,0,0
341,35,1,0,0.030999999,0.037,0,0,0,0
342,35,1,0,0.034000002,0.034000002,0,0,0,0
343,35,1,0,0.015,0.035,0,0,1,0
344,35,1,0,0.021,0.034000002,0,0,0,0
345,35,1,0,0.021,0.034000002,0,0,0,0
346,35,1,0,0.022,0.033,0,0,0,0
347,36,1,0,0.032000002,0.034000002,0,0,0,0
348,36,1,0,0.030999999,0.037,1,0,0,0
349,36,1,0,0.017999999,0.037,0,0,0,0
350,36,0,1,0.036666667,0.028000001,0,0,0,0
351,36,1,0,0.029999999,0.033,0,0,1,0
352,36,1,0,0.029999999,0.029999999,0,0,0,0
353,36,1,0,0.039000001,0.029999999,1,0,0,0
354,36,1,0,0.041000001,0.035,0,0,0,0
355,36,1,0,0.025,0.030999999,1,0,0,0
356,36,1,0,0.034000002,0.030999999,0,0,0,0
357,36,1,0,0.037,0.030999999,0,0,0,0
358,36,1,0,0.030999999,0.030999999,0,0,0,0
359,36,1,0,0.037,0.034000002,0,0,0,0
360,36,1,0,0.030999999,0.034000002,1,0,0,0
361,36,1,0,0.037,0.034000002,0,0,0,0
362,36,1,0,0.037,0.037,0,0,1,0
363,37,1,0,0.030999999,0.044,0,0,0,0
364,37,1,0,0.041000001,0.035999998,1,0,0,1
365,37,1,0,0.041000001,0.035,0,0,0,1
366,37,1,0,0.043000001,0.030999999,0,0,0,0
367,37,1,0,0.041999999,0.035,0,0,0,0
368,37,1,0,0.046999998,0.035,0,0,1,0
369,37,1,0,0.046,0.037,0,0,1,0
370,37,1,0,0.037999999,0.034000002,1,0,0,0
371,37,1,0,0.039000001,0.035,0,0,0,0
372,37,1,0,0.046999998,0.041999999,1,0,0,0
373,37,1,0,0.046999998,0.041999999,0,0,0,0
374,38,1,0,0.017999999,0.034000002,0,0,0,0
375,38,1,0,0.046,0.048,0,0,1,0
376,38,1,0,0.046,0.048,0,0,0,0
377,38,1,0,0.034000002,0.028000001,0,0,0,0
378,38,1,0,0.046,0.041000001,0,0,1,1
379,38,1,0,0.021,0.034000002,0,0,0,0
380,38,1,0,0.039000001,0.037,1,0,0,0
381,38,1,0,0.037,0.034000002,0,0,0,0
382,39,1,0,0.028000001,0.041000001,0,0,0,0
383,39,1,0,0.028000001,0.030999999,0,0,0,0
384,39,1,0,0.032000002,0.028000001,1,0,0,0
385,39,1,0,0.021,0.028000001,0,0,0,0
386,39,1,0,0.034000002,0.030999999,0,0,1,0
387,39,1,0,0.034000002,0.030999999,1,0,0,0
388,39,1,0,0.037,0.034000002,0,0,0,0
389,39,1,0,0.021,0.034000002,0,0,0,0
390,39,1,0,0.035,0.034000002,1,0,0,0
391,39,1,0,0.035,0.028999999,0,0,0,0
392,39,1,0,0.021,0.034000002,0,0,0,0
393,39,1,0,0.022,0.034000002,0,0,0,0
394,40,1,0,0.037,0.034000002,0,0,0,0
395,40,1,0,0.037999999,0.029999999,0,0,0,0
396,40,1,0,0.021,0.035,0,0,1,0
397,40,1,0,0.041000001,0.039999999,0,0,0,0
398,40,1,0,0.043000001,0.037,0,0,0,0
399,40,1,0,0.017999999,0.041999999,0,0,0,0
400,41,1,0,0.028000001,0.035999998,0,0,0,0
401,41,1,0,0.030999999,0.034000002,1,0,0,0
402,41,1,0,0.041999999,0.030999999,0,0,0,0
403,41,1,0,0.034000002,0.030999999,0,0,0,0
404,41,1,0,0.030999999,0.037,1,0,0,0
405,42,0,1,0.033666667,0.028000001,1,0,0,0
406,42,0,1,0.038000001,0.028000001,0,0,0,0
407,42,1,0,0.034000002,0.028000001,0,0,0,0
408,42,0,1,0.039333335,0.028000001,0,0,0,0
409,42,1,0,0.028000001,0.028000001,0,0,0,0
410,42,0,1,0.041666668,0.034000002,0,0,0,0
411,42,1,0,0.030999999,0.034000002,1,0,0,0
412,42,0,1,0.041333334,0.034000002,0,0,0,0
413,42,1,0,0.035,0.028000001,0,0,0,0
414,42,1,0,0.035,0.034000002,0,0,0,0
415,42,1,0,0.035999998,0.037,1,0,0,0
416,43,1,0,0.028000001,0.034000002,0,0,0,0
417,43,1,0,0.028000001,0.034000002,0,0,0,0
418,43,1,0,0.028000001,0.030999999,1,0,0,0
419,43,1,0,0.041999999,0.028000001,0,0,0,0
420,43,1,0,0.034000002,0.028000001,0,0,0,0
421,43,1,0,0.030999999,0.030999999,1,0,0,0
422,43,1,0,0.035,0.034000002,0,0,0,0
423,43,1,0,0.043000001,0.034000002,0,0,0,0
424,43,0,1,0.041666668,0.028000001,0,0,0,0
425,44,1,0,0.017999999,0.039000001,0,0,0,0
426,44,1,0,0.034000002,0.039000001,0,0,0,0
427,44,1,0,0.029999999,0.028000001,0,0,1,0
428,44,1,0,0.029999999,0.028999999,0,0,0,0
429,44,1,0,0.034000002,0.030999999,0,0,1,0
430,44,1,0,0.043000001,0.030999999,0,0,0,0
431,44,1,0,0.021,0.034000002,0,0,0,0
432,44,1,0,0.021,0.034000002,0,0,0,0
433,45,0,1,0.045,0.034000002,0,0,0,0
434,45,0,1,0.045,0.028000001,0,0,0,0
435,45,1,0,0.030999999,0.035,0,1,1,0
436,45,1,0,0.030999999,0.035,0,0,1,0
437,45,1,0,0.029999999,0.048,0,0,1,0
438,45,1,0,0.027000001,0.048,0,0,1,0
439,45,1,0,0.041999999,0.029999999,1,0,0,0
440,45,1,0,0.029999999,0.048999999,0,0,0,0
441,45,1,0,0.027000001,0.035,0,0,0,1
442,45,1,0,0.029999999,0.041000001,0,0,0,1
443,46,0,1,0.044333334,0.030999999,0,0,0,0
444,46,0,1,0.038333334,0.028000001,1,0,0,0
445,46,0,1,0.038333334,0.028000001,1,0,0,0
446,46,0,1,0.041666668,0.034000002,0,0,0,0
447,46,0,1,0.042666667,0.037,0,0,0,0
448,47,0,1,0.041666668,0.035,0,0,0,0
449,47,1,0,0.045000002,0.035,0,0,1,0
450,47,1,0,0.037999999,0.033,0,0,0,1
451,47,1,0,0.046,0.030999999,0,0,1,0
452,47,1,0,0.046999998,0.029999999,0,0,1,0
453,47,1,0,0.041999999,0.037,0,0,1,0
454,48,1,0,0.037,0.034000002,0,0,0,0
455,48,1,0,0.029999999,0.018999999,0,0,0,0
456,48,1,0,0.043000001,0.029999999,0,0,0,0
457,48,1,0,0.030999999,0.030999999,1,0,0,0
458,48,1,0,0.034000002,0.030999999,0,0,0,0
459,49,1,0,0.028000001,0.029999999,0,0,0,0
460,49,1,0,0.021,0.030999999,0,0,0,0
461,49,1,0,0.017000001,0.033,0,0,0,0
462,49,1,0,0.028000001,0.028000001,0,0,0,0
463,49,1,0,0.041999999,0.041999999,0,0,0,0
464,49,1,0,0.017999999,0.041999999,0,0,0,0
465,49,1,0,0.017999999,0.041999999,0,0,0,0
466,49,1,0,0.017999999,0.041999999,0,0,0,0
467,50,1,0,0.034000002,0.030999999,0,0,0,0
468,50,1,0,0.034000002,0.030999999,0,0,1,0
469,50,1,0,0.043000001,0.030999999,0,0,0,0
470,50,1,0,0.046,0.034000002,0,0,0,0
471,50,1,0,0.021,0.034000002,0,0,0,0
472,51,1,0,0.030999999,0.037,0,0,0,0
473,51,1,0,0.030999999,0.037,0,0,0,0
474,51,1,0,0.030999999,0.035999998,0,0,0,0
475,51,1,0,0.030999999,0.035999998,0,0,0,0
476,51,1,0,0.030999999,0.034000002,0,0,1,0
477,51,1,0,0.030999999,0.034000002,0,0,0,0
478,51,1,0,0.029999999,0.029999999,0,0,0,0
479,51,1,0,0.029999999,0.035,0,0,0,0
480,51,1,0,0.029999999,0.035,0,0,0,0
481,51,1,0,0.029999999,0.028999999,0,0,0,0
482,51,1,0,0.041999999,0.028000001,0,0,0,0
483,51,1,0,0.029999999,0.035,0,0,0,0
484,51,1,0,0.029999999,0.035,0,0,0,0
485,51,1,0,0.027000001,0.035,0,0,0,0
486,51,1,0,0.027000001,0.035,0,0,0,0
487,51,1,0,0.027000001,0.035,0,0,0,0
488,51,1,0,0.030999999,0.035,0,0,1,0
489,51,1,0,0.030999999,0.035,0,0,1,0
490,51,1,0,0.030999999,0.035,0,0,0,0
491,51,1,0,0.030999999,0.035,1,0,0,0
492,51,1,0,0.021,0.034000002,0,0,0,0
493,51,1,0,0.030999999,0.037,0,0,0,0
494,52,1,0,0.028000001,0.035999998,0,0,0,0
495,52,1,0,0.029999999,0.048,0,0,1,0
496,52,1,0,0.027000001,0.048999999,0,0,0,0
497,52,1,0,0.034000002,0.028000001,0,0,0,0
498,52,1,0,0.046,0.041000001,0,0,1,1
499,53,1,0,0.046,0.041000001,0,0,1,1
500,53,1,0,0.046,0.041000001,0,0,1,1
501,53,1,0,0.035,0.028000001,0,0,0,0
502,53,1,0,0.032000002,0.043000001,0,0,1,0
503,53,1,0,0.021,0.034000002,0,0,0,0
504,53,1,0,0.017999999,0.041999999,0,0,0,0
505,54,1,0,0.050000001,0.030999999,0,0,0,0
506,54,1,0,0.043000001,0.028999999,0,0,0,0
507,54,1,0,0.037999999,0.030999999,0,0,0,0
508,54,1,0,0.039000001,0.030999999,1,0,0,0
509,54,1,0,0.046999998,0.030999999,0,0,0,0
510,54,1,0,0.050000001,0.025,0,1,0,0
511,54,1,0,0.039000001,0.028999999,0,0,0,0
512,54,1,0,0.043000001,0.034000002,0,0,0,0
