OBS,PRIVATE,SUNSHINE,KEEBLER,NABISCO,PRICEPRIVATE,PRICESUNSHINE,PRICEKEEBLER,PRICENABISCO,FeatPrivate,FeatSunshine,FeatKeebler,FeatNabisco,DisplPrivate,DisplSunshine,DisplKeebler,DisplNabisco
19,0,1,0,0,0.689999998,0.789999962,1.25,1.059999824,0,1,0,0,0,1,0,0
20,0,1,0,0,0.689999998,0.789999962,1.25,1.059999824,0,0,0,0,0,1,0,0
21,0,1,0,0,0.689999998,0.789999962,1.25,0.99000001,0,0,0,0,0,0,0,1
22,0,1,0,0,0.569999933,0.970000029,1.149999976,1.089999914,1,0,0,1,1,0,0,0
23,0,1,0,0,0.649999976,0.789999962,1.349999905,1.089999914,0,0,0,0,0,1,0,1
24,0,0,1,0,0.599999964,0.970000029,0.99000001,1.25,0,0,0,0,0,0,1,0
25,0,1,0,0,0.730000019,1.089999914,1.349999905,1.289999962,0,0,0,0,0,0,0,0
26,0,1,0,0,0.759999931,1.089999914,1.349999905,1.149999976,0,0,0,0,0,0,0,0
27,0,0,0,1,0.589999914,1.049999952,1.25,0.99000001,0,0,0,0,0,0,1,1
28,0,0,1,0,0.589999914,1.049999952,0.99000001,1.289999962,0,0,1,0,0,0,1,0
29,0,1,0,0,0.889999986,0.889999986,1.349999905,1.039999962,0,0,0,0,0,0,0,0
30,0,0,0,1,0.589999914,1.049999952,1.289999962,0.99000001,0,0,0,0,0,0,0,1
31,0,0,0,1,0.649999976,1.049999952,1.289999962,0.99000001,0,0,0,0,0,0,0,1
32,0,1,0,0,0.649999976,1.049999952,1.289999962,1.289999962,0,0,0,0,0,0,0,0
33,0,0,0,1,0.589999914,0.680000007,0.879999995,0.879999995,0,0,0,0,0,0,0,0
34,1,0,0,0,0.789999962,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0
35,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
36,1,0,0,0,0.5,0.889999986,1.039999962,0.99000001,1,0,0,0,1,1,0,0
37,1,0,0,0,0.689999998,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0
38,1,0,0,0,0.889999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
39,0,0,0,1,0.609999955,0.970000029,1.149999976,0.99000001,0,0,0,0,0,0,0,0
40,0,0,0,1,0.609999955,0.970000029,1.25,1.089999914,0,0,0,0,0,0,0,1
41,0,0,0,1,0.609999955,0.970000029,0.99000001,1.25,0,0,1,0,0,0,0,0
42,1,0,0,0,0.889999986,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0
43,0,0,0,1,0.609999955,1.029999971,1.089999914,1.089999914,0,0,0,0,0,0,1,1
44,0,0,0,1,0.609999955,1.089999914,1.289999962,1.25,0,0,0,0,0,0,0,0
45,0,0,0,1,0.609999955,1.049999952,1.289999962,1.25,0,0,0,0,0,0,0,0
46,1,0,0,0,0.680000007,0.930000007,1.190000057,0.980000019,1,0,0,0,1,0,0,0
47,1,0,0,0,0.549999952,0.980000019,0.99000001,1.089999914,0,0,0,0,0,0,0,0
48,1,0,0,0,0.549999952,0.99000001,1.089999914,0.949999988,0,0,0,0,0,0,0,0
49,1,0,0,0,0.549999952,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0
50,1,0,0,0,0.689999998,0.889999986,0.99000001,1.129999995,0,0,0,0,0,0,0,1
51,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
52,1,0,0,0,0.549999952,0.789999962,1.049999952,1.089999914,0,0,0,0,0,0,0,0
53,1,0,0,0,0.549999952,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0
54,1,0,0,0,0.549999952,0.99000001,1.190000057,0.99000001,0,0,0,0,0,0,0,0
55,1,0,0,0,0.549999952,1.089999914,1.190000057,0.99000001,0,0,0,0,0,0,0,0
56,1,0,0,0,0.549999952,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
57,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0
58,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0
59,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,0,0,0,0,1
60,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,0,0,0,0,0
61,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,0,0,0,0,0
62,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,1
63,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,0
64,1,0,0,0,0.549999952,0.980000019,1.209999919,1.089999914,0,0,0,0,0,0,0,0
65,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0
66,1,0,0,0,0.589999914,1.089999914,1.089999914,1.089999914,0,0,0,0,0,0,0,1
67,1,0,0,0,0.589999914,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
68,1,0,0,0,0.589999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0
69,1,0,0,0,0.589999914,0.889999986,1.209999919,0.99000001,0,0,0,0,0,0,0,1
70,1,0,0,0,0.589999914,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,1,1
71,1,0,0,0,0.889999986,1.190000057,1.289999962,1.289999962,0,0,0,0,0,0,0,0
72,1,0,0,0,0.589999914,0.949999988,1.25,0.99000001,0,0,0,0,0,0,0,1
73,1,0,0,0,0.589999914,0.949999988,1.190000057,1.289999962,0,0,0,0,0,0,0,1
74,1,0,0,0,0.589999914,0.949999988,1.039999962,0.99000001,0,0,0,0,0,0,0,0
75,1,0,0,0,0.589999914,0.949999988,1.039999962,1.2299999,0,0,0,0,0,0,0,0
76,0,0,1,0,0.680000007,0.689999998,0.889999986,1.059999824,0,0,0,0,0,0,0,0
77,0,0,0,1,0.680000007,0.889999986,1.079999924,0.889999986,0,0,0,0,0,1,0,0
78,0,0,0,1,0.779999912,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0
79,0,0,1,0,0.709999979,0.99000001,1.089999914,1.190000057,0,0,0,0,0,0,0,0
80,0,0,0,1,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
81,0,0,1,0,0.680000007,1.089999914,0.99000001,1.25999999,0,0,1,0,0,0,0,0
82,0,0,1,0,0.649999976,0.879999995,1.25,1.089999914,0,0,0,0,0,0,0,1
83,0,0,1,0,0.609999955,0.970000029,0.99000001,1.25,0,0,0,0,0,0,1,0
84,0,0,1,0,0.680000007,1.039999962,1.089999914,1.089999914,0,0,1,1,0,0,0,0
85,0,0,1,0,0.649999976,0.970000029,1.25,1.25,0,0,0,0,0,0,0,0
86,0,0,0,1,0.839999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0
87,0,0,1,0,0.649999976,1.049999952,1.25,1.289999962,0,0,0,0,1,0,0,1
88,0,0,1,0,0.609999955,1.049999952,1.25,0.99000001,0,0,0,0,0,0,0,1
89,0,0,1,0,0.649999976,1.049999952,0.99000001,0.99000001,0,0,0,1,0,0,0,0
90,1,0,0,0,0.670000017,0.689999998,0.879999995,0.889999986,0,0,0,0,0,0,0,0
91,0,0,0,1,0.680000007,0.849999964,0.980000019,0.889999986,0,0,0,0,0,1,0,0
92,1,0,0,0,0.549999952,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,1
93,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
94,0,0,0,1,0.779999912,1.029999971,1.089999914,0.769999921,0,0,0,0,0,0,0,0
95,1,0,0,0,0.549999952,0.789999962,1.049999952,1.089999914,0,0,0,0,0,0,0,0
96,1,0,0,0,0.549999952,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0
97,0,0,0,1,0.649999976,0.889999986,1.019999981,1.149999976,0,0,0,0,0,0,0,0
98,1,0,0,0,0.549999952,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0
99,1,0,0,0,0.549999952,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
100,1,0,0,0,0.549999952,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
101,0,0,0,1,0.599999964,0.889999986,1.149999976,0.99000001,0,0,0,0,0,1,0,0
102,0,0,0,1,0.709999979,1.089999914,1.190000057,0.74000001,0,0,0,0,0,0,0,0
103,1,0,0,0,0.549999952,1.089999914,1.190000057,0.99000001,0,0,0,0,0,0,0,0
104,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0
105,1,0,0,0,0.549999952,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0
106,1,0,0,0,0.549999952,0.980000019,1.089999914,1.289999962,0,0,0,0,0,0,0,0
107,1,0,0,0,0.549999952,0.980000019,1.209999919,1.190000057,0,0,0,0,0,0,0,1
108,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,1
109,1,0,0,0,0.549999952,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,0
110,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0
111,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0
112,1,0,0,0,0.589999914,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
113,1,0,0,0,0.589999914,0.889999986,1.209999919,0.99000001,0,0,0,0,0,0,0,1
114,1,0,0,0,0.589999914,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,1,1
115,1,0,0,0,0.589999914,0.949999988,1.190000057,1.289999962,0,0,0,0,0,0,0,1
116,1,0,0,0,0.589999914,1.089999914,1.219999909,1.289999962,0,0,0,0,0,0,0,0
117,1,0,0,0,0.589999914,1.289999962,1.039999962,1.2299999,0,0,0,0,0,0,0,0
118,0,0,0,1,0.689999998,0.789999962,0.99000001,0.689999998,0,0,0,0,0,0,0,0
119,0,0,1,0,0.609999955,0.889999986,0.889999986,0.99000001,0,0,1,0,0,0,1,1
120,0,0,0,1,0.680000007,0.959999979,1.190000057,0.49000001,0,0,0,0,0,0,0,0
121,0,1,0,0,0.49000001,0.789999962,1.25,1.059999824,1,0,0,0,0,1,0,1
122,0,0,1,0,0.579999924,0.930000007,0.99000001,0.980000019,0,0,0,1,0,0,0,1
123,0,0,0,1,0.609999955,0.970000029,1.149999976,0.99000001,0,0,0,0,0,0,0,0
124,0,0,0,1,0.730000019,1.089999914,1.190000057,1.149999976,0,0,1,0,0,0,0,0
125,0,0,0,1,0.789999962,1.089999914,1.349999905,1.289999962,0,0,0,0,0,0,0,0
126,0,0,0,1,0.609999955,1.049999952,1.289999962,1.25,0,0,0,0,0,0,0,0
127,0,0,0,1,0.839999914,1.089999914,1.209999919,0.99000001,0,0,0,0,0,0,0,1
128,0,0,1,0,0.889999986,1.190000057,1.289999962,1.289999962,0,0,0,0,0,0,0,0
129,0,0,0,1,0.629999995,0.930000007,1.119999886,0.980000019,0,0,0,0,1,0,1,0
130,0,0,0,1,0.889999986,1.190000057,1.289999962,1.289999962,0,0,0,0,0,0,0,0
131,0,0,0,1,0.819999933,1.089999914,1.209999919,0.589999914,0,0,0,0,0,0,1,0
132,0,0,0,1,0.819999933,1.089999914,1.209999919,0.589999914,0,0,0,0,0,0,1,0
133,0,0,1,0,0.609999955,1.049999952,0.99000001,1.25,0,0,1,0,1,0,1,1
134,0,0,0,1,0.609999955,1.049999952,1.289999962,0.99000001,0,0,0,0,0,0,0,1
135,0,0,0,1,0.709999979,0.689999998,0.879999995,1.199999928,0,0,0,0,0,0,0,0
136,0,0,0,1,0.709999979,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,1
137,0,0,0,1,0.779999912,0.789999962,1.089999914,1.089999914,0,0,0,0,0,0,0,0
138,0,0,0,1,0.779999912,0.99000001,1.089999914,0.889999986,0,0,0,0,0,1,0,0
139,0,0,0,1,0.779999912,0.789999962,1.049999952,0.99000001,0,0,0,0,0,0,0,0
140,0,0,0,1,0.779999912,0.980000019,1.049999952,1.089999914,0,0,0,0,0,0,0,0
141,0,0,0,1,0.779999912,0.980000019,1.089999914,0.889999986,0,0,0,0,0,0,0,0
142,0,0,0,1,0.789999962,0.889999986,1.149999976,0.889999986,0,0,0,0,0,0,0,0
143,0,0,0,1,0.639999986,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0
144,0,0,0,1,0.639999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
145,0,0,0,1,0.779999912,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
146,0,0,0,1,0.779999912,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0
147,0,0,0,1,0.779999912,0.980000019,1.190000057,0.99000001,0,0,0,0,0,0,0,0
148,0,0,0,1,0.779999912,0.980000019,1.089999914,1.289999962,0,0,0,0,0,0,0,0
149,0,0,0,1,0.639999986,0.980000019,1.209999919,1.190000057,0,0,0,0,1,0,0,1
150,0,0,0,1,0.639999986,0.980000019,1.209999919,1.190000057,0,0,0,0,1,0,0,0
151,0,0,0,1,0.779999912,0.980000019,1.190000057,1.289999962,0,0,0,0,0,0,0,0
152,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,0
153,0,0,0,1,0.879999995,0.789999962,1.209999919,1.089999914,0,0,0,0,0,0,0,1
154,0,0,0,1,0.789999962,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
155,0,0,0,1,0.959999979,1.089999914,1.089999914,1.089999914,0,0,0,0,0,0,0,1
156,0,0,0,1,0.930000007,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
157,0,0,0,1,0.859999955,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0
158,0,0,0,1,0.959999979,0.889999986,1.089999914,1.289999962,0,0,1,0,0,0,1,1
159,0,0,0,1,0.819999933,0.949999988,1.25,0.99000001,0,0,0,0,0,0,0,0
160,0,0,0,1,0.959999979,1.289999962,1.039999962,1.289999962,0,0,0,0,1,0,0,1
161,0,1,0,0,0.779999912,0.49000001,1.089999914,1.089999914,0,0,0,0,0,0,0,0
162,0,1,0,0,0.779999912,0.49000001,1.089999914,1.089999914,0,0,0,0,0,1,0,0
163,0,1,0,0,0.639999986,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0
164,0,1,0,0,0.779999912,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
165,0,1,0,0,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
166,1,0,0,0,0.889999986,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,1
167,0,0,0,1,0.680000007,0.959999979,1.389999986,1.149999976,0,0,0,0,0,0,0,0
168,0,1,0,0,0.639999986,0.789999962,1.209999919,1.190000057,0,0,0,0,0,0,0,0
169,0,1,0,0,0.779999912,0.789999962,1.209999919,1.089999914,0,1,0,0,0,1,0,1
170,0,1,0,0,0.879999995,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
171,0,1,0,0,0.879999995,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
172,0,0,0,1,0.789999962,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
173,0,1,0,0,0.839999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0
174,0,0,0,1,0.859999955,0.889999986,1.209999919,0.99000001,0,0,0,1,0,0,0,0
175,0,1,0,0,0.859999955,0.889999986,1.209999919,0.99000001,0,0,0,0,0,1,0,0
176,0,0,1,0,0.959999979,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,1,0
177,0,0,0,1,0.680000007,0.959999979,1.389999986,1.089999914,0,0,0,1,0,0,0,0
178,0,1,0,0,0.789999962,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,0
179,0,1,0,0,0.959999979,1.289999962,1.039999962,1.289999962,0,0,0,0,0,0,0,0
180,0,0,0,1,0.709999979,0.689999998,0.879999995,1.199999928,0,0,0,0,0,0,0,0
181,0,0,0,1,0.709999979,0.980000019,0.99000001,0.99000001,0,0,0,0,0,1,0,1
182,0,0,0,1,0.709999979,0.99000001,1.089999914,0.889999986,0,0,0,0,0,0,0,1
183,0,0,0,1,0.709999979,0.99000001,1.089999914,0.99000001,0,0,0,0,0,0,0,0
184,0,0,0,1,0.779999912,0.49000001,1.089999914,1.089999914,0,0,0,0,0,1,0,0
185,0,0,0,1,0.779999912,0.49000001,1.089999914,1.089999914,0,0,0,0,0,1,0,0
186,0,0,0,1,0.779999912,0.589999914,1.089999914,0.889999986,0,0,0,0,0,1,0,0
187,0,0,0,1,0.779999912,0.789999962,1.089999914,0.889999986,0,0,0,0,0,1,0,0
188,0,0,0,1,0.779999912,0.789999962,1.049999952,1.089999914,0,0,0,0,0,1,0,0
189,0,0,0,1,0.779999912,0.789999962,1.089999914,0.889999986,0,0,0,0,0,1,0,0
190,0,0,0,1,0.779999912,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
191,0,0,0,1,0.639999986,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0
192,0,0,0,1,0.639999986,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
193,0,0,0,1,0.709999979,0.99000001,1.089999914,1.190000057,0,0,0,0,0,0,0,0
194,0,0,0,1,0.839999914,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
195,0,0,0,1,0.779999912,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
196,0,0,0,1,0.779999912,0.889999986,1.190000057,0.99000001,0,0,0,0,0,0,0,0
197,1,0,0,0,0.689999998,1.089999914,1.209999919,1.190000057,0,0,0,1,1,0,0,0
198,0,0,0,1,0.569999933,0.970000029,1.149999976,1.089999914,1,0,0,1,1,0,0,0
199,0,0,0,1,0.639999986,0.789999962,1.209999919,1.190000057,0,0,0,0,0,0,0,0
200,0,0,0,1,0.779999912,0.789999962,1.190000057,1.289999962,0,0,0,0,1,1,0,0
201,1,0,0,0,0.889999986,1.089999914,1.190000057,1.289999962,0,0,0,0,0,0,0,1
202,0,0,0,1,0.779999912,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,1
203,0,0,0,1,0.779999912,0.789999962,1.209999919,0.839999914,0,1,0,0,0,1,0,1
204,0,0,0,1,0.599999964,0.970000029,1.25,1.089999914,0,0,0,1,0,0,0,0
205,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,0
206,0,0,0,1,0.879999995,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,0
207,0,0,0,1,0.879999995,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
208,0,0,0,1,0.789999962,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,1
209,0,0,0,1,0.789999962,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
210,0,0,0,1,0.649999976,0.970000029,1.25,1,0,0,0,0,0,0,0,0
211,0,0,0,1,0.920000017,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,0
212,0,0,0,1,0.649999976,1.049999952,1.25,0.99000001,0,0,0,0,0,0,0,0
213,0,0,0,1,0.649999976,1.049999952,1.25,0.99000001,0,0,0,0,0,0,0,1
214,0,0,0,1,0.859999955,1.089999914,1.209999919,0.99000001,0,0,0,0,0,0,0,0
215,0,0,0,1,0.819999933,0.949999988,1.25,0.99000001,0,0,0,0,0,0,0,1
216,0,0,0,1,0.589999914,1.049999952,1.289999962,1.289999962,0,0,0,0,0,0,0,0
217,0,0,0,1,0.589999914,1.049999952,1.289999962,0.99000001,0,0,0,0,0,0,0,1
218,0,0,0,1,0.589999914,1.049999952,1.289999962,0.99000001,0,0,0,0,0,0,0,1
219,0,0,0,1,0.720000029,0.949999988,1.039999962,0.99000001,0,0,0,0,0,0,0,0
220,0,0,0,1,0.959999979,1.289999962,1.039999962,1.289999962,0,0,0,0,0,0,0,0
221,0,0,0,1,0.649999976,0.889999986,0.99000001,0.889999986,0,0,0,0,0,0,0,0
222,0,0,0,1,0.5,0.889999986,0.99000001,0.889999986,1,0,0,0,1,0,0,1
223,0,0,0,1,0.609999955,0.889999986,0.889999986,0.99000001,0,0,1,0,0,0,1,1
224,0,0,0,1,0.5,0.889999986,0.99000001,0.889999986,1,0,0,0,1,0,0,0
225,0,0,0,1,0.649999976,0.889999986,0.99000001,0.889999986,0,0,0,1,0,0,0,1
226,0,0,0,1,0.649999976,0.889999986,0.99000001,0.889999986,0,0,0,0,0,0,0,1
227,0,0,0,1,0.649999976,0.889999986,0.99000001,1.049999952,0,0,0,0,0,0,0,0
228,0,0,0,1,0.649999976,0.889999986,1.049999952,0.889999986,0,0,0,1,0,0,0,0
229,0,0,0,1,0.649999976,0.889999986,1.019999981,1.049999952,0,0,0,0,0,0,0,1
230,0,0,0,1,0.49000001,0.889999986,1.019999981,0.889999986,0,0,0,1,0,0,0,1
231,0,0,1,0,0.649999976,0.879999995,0.99000001,1.149999976,0,1,1,0,0,1,1,0
232,0,0,0,1,0.779999912,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,1
233,0,0,0,1,0.649999976,0.879999995,1.149999976,1.089999914,0,0,0,0,0,0,0,1
234,0,0,1,0,0.649999976,0.879999995,0.99000001,1.25,0,0,0,0,0,0,0,0
235,0,0,0,1,0.649999976,0.879999995,1.25,0.74000001,0,0,0,0,0,0,0,1
236,0,0,0,1,0.779999912,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
237,0,0,0,1,0.649999976,0.970000029,1.25,1.25,0,0,0,0,0,0,0,0
238,0,0,0,1,0.649999976,0.970000029,1.25,1.089999914,0,0,0,1,0,0,0,0
239,0,0,0,1,0.649999976,0.970000029,1.169999957,1.089999914,0,0,0,1,0,0,0,1
240,0,0,0,1,0.649999976,1.049999952,1.25,0.99000001,0,0,0,0,0,0,0,1
241,0,0,0,1,0.649999976,1.049999952,1.25,0.99000001,0,0,0,1,1,0,0,1
242,1,0,0,0,0.589999914,1.049999952,1.169999957,1.289999962,0,0,0,0,1,0,0,1
243,1,0,0,0,0.589999914,0.949999988,1.25,0.99000001,0,0,0,0,0,0,0,1
244,0,0,0,1,0.649999976,1.049999952,1.169999957,0.99000001,0,0,0,0,0,0,0,1
245,0,0,0,1,0.649999976,1.049999952,0.99000001,0.99000001,0,0,0,0,0,0,0,1
246,1,0,0,0,0.379999995,1.23999989,1.049999952,0.980000019,1,0,0,0,1,0,0,0
247,1,0,0,0,0.549999952,0.980000019,0.879999995,0.889999986,0,0,0,0,0,0,0,0
248,1,0,0,0,0.549999952,0.99000001,0.99000001,1.089999914,0,0,0,0,0,0,0,1
249,1,0,0,0,0.549999952,0.49000001,1.089999914,1.089999914,0,1,0,0,0,1,0,0
250,1,0,0,0,0.549999952,0.589999914,1.089999914,0.889999986,0,0,0,0,0,1,0,0
251,1,0,0,0,0.549999952,0.99000001,1.049999952,1.089999914,0,0,0,0,0,1,0,0
252,1,0,0,0,0.549999952,0.789999962,1.049999952,1.089999914,0,0,0,0,0,1,0,0
253,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
254,1,0,0,0,0.549999952,1.029999971,1.089999914,0.889999986,0,0,0,0,0,0,0,0
255,1,0,0,0,0.549999952,1.029999971,1.089999914,1.190000057,0,0,0,0,0,0,0,0
256,1,0,0,0,0.549999952,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
257,1,0,0,0,0.549999952,1.089999914,1.089999914,1.190000057,0,0,0,0,0,0,0,0
258,1,0,0,0,0.549999952,0.99000001,1.089999914,1.190000057,0,0,0,0,0,0,0,0
259,1,0,0,0,0.549999952,1.089999914,1.190000057,0.99000001,0,0,0,0,0,0,0,0
260,1,0,0,0,0.549999952,0.889999986,1.089999914,1.190000057,0,0,0,0,0,0,0,0
261,1,0,0,0,0.549999952,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,1
262,1,0,0,0,0.549999952,1.089999914,1.089999914,1.289999962,0,0,0,0,0,0,0,0
263,1,0,0,0,0.549999952,1.089999914,1.209999919,1.190000057,0,0,0,1,0,0,0,0
264,1,0,0,0,0.549999952,0.789999962,1.209999919,1.190000057,0,0,0,0,0,1,0,0
265,1,0,0,0,0.549999952,0.789999962,1.209999919,1.190000057,0,0,0,0,0,0,0,0
266,0,1,0,0,0.779999912,0.789999962,1.190000057,1.289999962,0,0,0,0,1,1,0,0
267,1,0,0,0,0.549999952,1.089999914,1.190000057,1.289999962,0,0,0,0,0,0,0,0
268,1,0,0,0,0.549999952,1.089999914,1.190000057,1.289999962,0,0,0,0,0,0,0,1
269,1,0,0,0,0.549999952,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,1
270,1,0,0,0,0.549999952,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
271,1,0,0,0,0.589999914,0.789999962,1.209999919,1.089999914,0,0,0,0,0,1,0,1
272,1,0,0,0,0.589999914,1.089999914,1.209999919,1.089999914,0,0,0,0,0,0,0,1
273,1,0,0,0,0.589999914,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
274,1,0,0,0,0.589999914,1.089999914,1.209999919,1.289999962,0,0,0,0,0,0,0,1
275,1,0,0,0,0.589999914,1.089999914,1.089999914,1.089999914,0,0,0,0,0,0,0,1
276,1,0,0,0,0.589999914,0.980000019,1.129999995,1.109999895,0,0,0,0,0,0,0,0
